Organisation,Website,Main address,Main Phone,Job Title,Title,Member,Post Nominal
Abertay University,www.abertay.ac.uk,"Principl's Office, Kydd Building
Kydd Building
Bell Street
Dundee DD1 1HG",01382 308000,Principal and Vice-Chancellor,Professor,Liz Bacon,
Aberystwyth University,www.aber.ac.uk,"Old College
King Street
Aberystwyth SY23 2AX",01970 623111,Vice-Chancellor,Professor,Jon Timmis,
Anglia Ruskin University,www.anglia.ac.uk,"Vice Chancellor's Office
Tindal Building
Bishops Hall Lane
Chelmsford CM1 1SQ",0845 271 333,Vice-Chancellor,Professor,Roderick Watkins,
Aston University,www.aston.ac.uk,"Aston Triangle
Birmingham B4 7ET",0121 204 3000,Vice-Chancellor and Chief Executive,Professor,Aleks Subic,
Bangor University,www.bangor.ac.uk,"Vice-Chancellor's Office
Bangor LL57 2DG",01248 351151,Vice-Chancellor,Professor,Edmund Burke,
Bath Spa University,www.bathspa.ac.uk,"Newton Park
Newton St Loe
Bath BA2 9BN",01225 875875,Vice-Chancellor,Professor,Sue Rigby,
"Birkbeck, University of London",www.bbk.ac.uk,"Malet Street
Bloomsbury
London WC1E 7HX",020 7631 6000,Vice-Chancellor,Professor,Sally Wheeler,OBE
Birmingham City University,www.bcu.ac.uk,"University House
15 Bartholomew Row
Birmingham B5 5JU",0121 331 5000,Vice-Chancellor,Professor,David Mba,
Bishop Grosseteste University,https://www.bishopg.ac.uk,"Longdales Road
Lincoln, Lincolnshire LN1 3DY",01522 527347,Interim Vice-Chancellor,,Tom Dannatt,
Bournemouth University,www.bournemouth.ac.uk,"Fern Barrow
Poole BH12 5BB",01202 524111,Vice-Chancellor & Chief Executive,Professor,Alison Honour,
Brunel University London,www.brunel.ac.uk,"Kingston Lane
Uxbridge UB8 3PH",01895 274000,Vice-Chancellor and President,Professor,Andrew Jones,
Buckinghamshire New University,www.bucks.ac.uk,"Queen Alexandra Road
High Wycombe, Buckinghamshire HP11 2JZ",0300 123 2023,Vice-Chancellor,Professor,Nick Braisby,
Canterbury Christ Church University,https://www.canterbury.ac.uk,"North Holmes Road
Canterbury, Kent CT1 1QU",02227 767700,Vice-Chancellor and Principal,Professor,Rama Thirunamachandran,OBE
Cardiff Metropolitan University,www.cardiffmet.ac.uk,"PO Box 377
Western Avenue
Cardiff CF5 2SG",029 2041 6070,Vice-Chancellor and President,Professor,Rachael Langford,
Cardiff University,www.cardiff.ac.uk,"Main Building
Park Place
Cardiff CF10 3AT",029 2087 4000,President & Vice-Chancellor,Professor,Wendy Larner,
"City St George's, University of London",www.city.ac.uk,"Northampton Square
London EC1V 0HB",020 7040 5060,President,Professor Sir,Anthony Finkelstein,CBE
Courtauld Institute of Art,https://courtauld.ac.uk/,"Somerset House
Strand
London WC2R 0RN",020 3947 7711,Märit Rausing Director.,Professor,Mark Hallett,
Coventry University,www.coventry.ac.uk,"Priory Street
Coventry CV1 5FB",024 7765 8212,Vice-Chancellor,Professor,John Latham,CBE
Cranfield University,www.cranfield.ac.uk,"College Road
Cranfield, Bedfordshire MK43 0AL",01234 750111,CEO and Vice-Chancellor,Professor Dame,Karen Holford,DBE
De Montfort University,www.dmu.ac.uk,"Trinity House
The Gateway
Leicester LE1 9BH",0116 255 1551,Vice-Chancellor,Professor,Katie Normington,
Durham University,www.dur.ac.uk,"The Palatine Center
Stockton Road
Durham DH1 3LE",0191 334 2000,Vice-Chancellor and Warden,Professor,Karen O’Brien,
Edge Hill University,www.edgehill.ac.uk,"St Helens Road
Ormskirk L39 4QP",01695 575171,Vice-Chancellor,Dr,John Cater,CBE
Edinburgh Napier University,www.napier.ac.uk,"Prinicpal's Suite
Level 7, Sighthill Campus
Sighthill Court
Edinburgh EH11 4BN",0333 900 6040,Vice-Chancellor,Professor,Andrea Nolan,OBE
Falmouth University,www.falmouth.ac.uk,"Penryn Campus, 
Treliever Road
Penryn, Cornwall TR10 9FE",01326 370400,Vice-Chancellor & Chief Executive,Professor,Emma Hunt,
Glasgow Caledonian University,www.gcu.ac.uk,"Britannia Building
Cowcaddens Road
Glasgow G4 0BA",0141 331 3000,Principal and Vice-Chancellor,Professor,Stephen Decent,
"Goldsmiths, University of London",www.gold.ac.uk,"Lewisham Way
New Cross
London SE14 6NW",020 7919 7171,Warden,Professor,Frances Corner,OBE
Guildhall School of Music and Drama,https://www.gsmd.ac.uk,"Silk Street
Barbican
London EC2Y 8DT",020 7628 2571,Principal,Professor,Jonathan Vaughan,
Heriot-Watt University,www.hw.ac.uk,"Edinburgh Campus
Riccarton
Edinburgh EH14 4AS",0131 449 5111,Principal and Vice-Chancellor,Professor,Richard Williams,OBE
Imperial College London,www.imperial.ac.uk,"Level 4
Faculty Building
South Kensington Campus
London SW7 2AZ",020 7589 5111,President,Professor,Hugh Brady,
Keele University,www.keele.ac.uk,"Claus Moser Research Building
Keele ST5 5BG",01782 732000,Vice-Chancellor,Professor,Trevor McMillan,OBE
King’s College London,www.kcl.ac.uk,"James Clerk Maxwell Building
57 Waterloo Road
London SE1 8WA",020 7836 5454,President and Principal,Professor,Shitij Kapur,
Kingston University,www.kingston.ac.uk,"River House
53-57 High Street
Kingston upon Thames KTKT1 1LQ",020 8417 9000,Vice-Chancellor,Professor,Steven Spier,
Lancaster University,www.lancaster.ac.uk,"Vice-Chancellor's Office
Lancaster LA1 4YW",01524 65201,Vice-Chancellor,Professor,Andy Schofield,
Leeds Beckett University,www.leedsbeckett.ac.uk,"Vice-Chancellor's  Office
Old Broadcasting House
Leeds LS1 3HB",0113 812 3100,Vice-Chancellor,Professor,Peter Slee,
Leeds Trinity University,www.leedstrinity.ac.uk,"Brownberrie Lane,  
Horsforth, 
Leeds LS18 5HD",0113 283 7100,Vice-Chancellor,Professor,Charles Egbu,
Liverpool Hope University,www.hope.ac.uk,"Hope Park
Liverpool L16 9JD",0151 291 3000,Vice-Chancellor and Rector,Professor,Claire Ozanne,
Liverpool John Moores University,www.ljmu.ac.uk,"Egerton Court
2 Rodney Street
Liverpool L3 5UX",0151 2313 2121,Vice-Chancellor and Chief Executive,Professor,Mark Power,
London Business School,www.london.edu,"Regent's Park
London NW1 4SA",020 7000 7000,Dean,Professor,Sergei Guriev,
London Metropolitan University,www.londonmet.ac.uk,"166-220 Holloway Road
London N7 8DB",020 7423 0000,Vice-Chancellor & Chief Executive,Professor,Julie Hall,
London School of Hygiene and Tropical Medicine,www.lshtm.ac.uk,"Keppel Street
London WC1E 7HT",020 7636 8636,Director,Professor,Liam Smeeth,
London South Bank University,www.lsbu.ac.uk,"103 Borough Road
London SE1 0AA",020 7815 7815,Vice-Chancellor,Professor,David Phoenix,OBE
Loughborough University,www.lboro.ac.uk,"Epinal Way
Loughborough LE11 3TU",01509 222222,Vice-Chancellor and President,Professor,Nick Jennings,CB
Manchester Metropolitan University,www.mmu.ac.uk,"Ormond Building
Lower Ormond Street
Manchester M15 6BX",0161 247 2000,Vice-Chancellor,Professor,Malcolm Press,CBE
Middlesex University,www.mdx.ac.uk,"College Building, 
Hendon Campus,
London NW4 4BT",020 8411 5000,Vice-Chancellor,Professor,Shân Wareing,
Newcastle University,www.ncl.ac.uk,"Vice-Chancellor's Office, 
King's Gate
Newcastle Upon Tyne NE1 7RU",0191 208 6000,Vice-Chancellor and President,Professor,Chris Day,CBE
Northumbria University,www.northumbria.ac.uk,"Vice-Chancellor’s Office,
 Sutherland Building, 
College Street
Newcastle Upon Tyne NE1 8ST",0191 232 6002,Vice-Chancellor and Chief Executive,Professor,Andy Long,
Norwich University of the Arts,https://www.norwichuni.ac.uk,"Francis House
3-7 Redwell Street
Norwich NR2 4SN",01603  610561,Vice-Chancellor,Professor,Simon Ofield-Kerr,
Nottingham Trent University,www.ntu.ac.uk,"50 Shakespeare Street
Nottingham NG1 4FQ",0115 941 8418,Vice-Chancellor,Professor,Edward Peck,CBE
Oxford Brookes University,www.brookes.ac.uk,"Gipsy Lane
Heddington
Oxford OX3 0BP",01865 741111,Vice-Chancellor,Professor,Alistair Fitt,
Plymouth Marjon University,www.marjon.ac.uk,"Derriford Road
Plymouth, Devon PL6 8BH",01752 636700,Vice-Chancellor and Chief Executive,Professor,Claire Taylor,
Queen Margaret University,www.qmu.ac.uk,"Queen Margaret University Drive
Musselburgh
Edinburgh EH21 6UU",0131 474 0000,Principal and Vice-Chancellor,Sir,Paul Grice,
Queen Mary University of London,www.qmul.ac.uk,"Principal's Office, 
Mile End Road
London E1 4NS",020 7882 5555,President and Principal,Professor,Colin Bailey,CBE
Queen's University Belfast,https://www.qub.ac.uk,"University Road
Belfast BT7 1NN",028 9024 5133,Vice-Chancellor,Professor Sir,Ian Greer,
Regent's University London,www.regents.ac.uk,"Inner Circle
Regent's Park
London NW1 4NS",020 7487 7700,Vice-Chancellor and Chief Executive,Professor,Geoff Smith,
Robert Gordon University,www.rgu.ac.uk,"Garthdee House, 
Garthdee Road
Aberdeen AB10 7QB",01224 262001,Principal and Vice-Chancellor,Professor,Steve Olivier,
Royal College of Art,www.rca.ac.uk,"Kensington Gore
London SW7 2EU",020 7590 4444,President and Vice-Chancellor,Professor,Christoph Lindner,
"Royal College of Music, London",www.rcm.ac.uk,"Prince Consort Road
London SW7 2BS",020 7591 4300,Director,Mr,James Williams,
"Royal Holloway, University of London",www.royalholloway.ac.uk,"Egham, Surrey TW20 0EX",01784 434455,Vice-Chancellor & Principal,Professor,Julie Sanders,
Sheffield Hallam University,www.shu.ac.uk,"City Campus
Sheffield S1 1WB",0114 225 5555,Vice-Chancellor,Professor,Liz Mossop,
"SOAS, University of London",www.soas.ac.uk,"10 Thornhaugh Street
Russell Square
London WC1H 0XG",020 7637 2388,Director,Professor,Adam Habib,
Solent University,www.solent.ac.uk,"East Park Terrace
Southampton SO14 0YN",023 8201 3000,Vice-Chancellor,Professor,James Knowles,
"St Mary's University, Twickenham",https://www.stmarys.ac.uk,"Waldgrave Road
Strawberry Hill
Twickenham
TW1 4SX
England",020 8240 4000,Vice-Chancellor,Mr,Anthony McClaran,
Swansea University,www.swansea.ac.uk,"Singleton Park
Swansea SA2 8PP",01792 205678,Vice-Chancellor,Professor,Paul Boyle,CBE
Teesside University,https://www.tees.ac.uk,"Victoria
Victoria Road
Middlesborough TS3 6DR",01642 218121,Vice-Chancellor and Chief Executive,Professor,Paul Croney,OBE
The Glasgow School of Art,www.gsa.ac.uk,"167 Renfrew Street
Glasgow G3 6RJ",0141 353 4500,Director and Chief Executive,Professor,Penny Macbeth,
The London School of Economics and Political Science,www.lse.ac.uk,"Houghton Street
London WC2A 2AE",020 7405 7686,President and Vice-Chancellor,Professor,Larry Kramer,
The Open University,www.open.ac.uk,"Walton Hall
Milton Keynes MK7 6AA",01908 654000,Vice-Chancellor,Professor,Tim Blackman,
The Royal Central School of Speech & Drama,https://www.cssd.ac.uk,"Eton Road
London NW3 3HY",020 7722 8183,Principal,Ms,Josette Bushell-Mingo,OBE
The Royal Veterinary College,www.rvc.ac.uk,"Hawkshead Lane
North Mimms
Hatfield AL9 7TA",020 7468 5000,President & Principal,Professor,Stuart Reid,CBE
The University of Buckingham,www.buckingham.ac.uk,"Hunter Street
Buckingham MK18 1EG",01280 814080,Vice-Chancellor,Professor,James Tooley,
The University of Manchester,www.manchester.ac.uk,"Oxford Road
Manchester M13 9PL",0161 306 6000,President & Vice-Chancellor,Professor,Duncan Ivison,
The University of Nottingham,www.nottingham.ac.uk,"University Park
Nottingham NG7 2RD",0115 951 3001,President and Vice-Chancellor,Professor,Shearer West,CBE
The University of Sheffield,www.sheffield.ac.uk,"Vice Chancellor's Office
Firth Court
Western Bank
Sheffield S10 2TN",0114 222 2000,President and Vice-Chancellor,Professor,Koen Lamberts,
The University of West London,www.uwl.ac.uk,"St Mary's Road
Ealing
London W5 5RF",020 8231 2468,Vice-Chancellor,Professor,Peter John,CBE
Trinity Laban Conservatoire of Music and Dance,www.trinitylaban.ac.uk,"King Charles Court
Old Royal Navel College
Greenwich
London SE10 9JF",020 8305 4444,Principal,Professor,Anthony Bowne,
Ulster University,www.ulster.ac.uk,"Cromore Road
Coleraine, Co. Londonderry BT52 1SA",028 7012 3456,Vice-Chancellor,Professor,Paul Bartholomew,
University College London,www.ucl.ac.uk,"Provost Office
South Cloister
Gower Street
London WC1E 6BT",020 7679 2000,President and Provost,Dr,Michael Spence,AC
University for the Creative Arts,www.uca.ac.uk,"Falkner Road
Farnham GU9 7DS",01252 722 441,President and Vice-Chancellor,Professor,Jane Roscoe,
University of Aberdeen,www.adbn.ac.uk,"Prinicple's Office
Kings College
Regent Walk
Aberdeen AB24 3FX",01224 272000,Principal and Vice-Chancellor,Professor,George Boyne,
University of Bath,www.bath.ac.uk,"Claverton Down
Bath BA2 7AY",01225 388388,Vice-Chancellor & President,Professor,Phil Taylor,
University of Bedfordshire,www.beds.ac.uk,"Park Square
Luton LU1 3JU",01234 400400,Vice-Chancellor,Professor,Rebecca Bunting,
University of Birmingham,www.birmingham.ac.uk,"Edgbaston
Birmingham B15 2TT",0121 414 3344,Vice-Chancellor,Professor,Adam Tickell,
University of Bolton,www.bolton.ac.uk,"Deane Road
Bolton BL3 5AB",01204 900600,President and Vice Chancellor,Professor,George Holmes,
University of Bradford,www.bradford.ac.uk,"Richmond Building
Richmond Road
Bradford BD7 1DP",01274 232323,Vice-Chancellor,Professor,Shirley Congdon,
University of Brighton,www.brighton.ac.uk,"8th Floor
Cockcroft Building
Lewes Road
Brighton BN2 4GJ",01273 600900,Interim Vice-Chancellor,Professor,Andrew Lloyd,
University of Bristol,www.bristol.ac.uk,"Beacon House
Queen's Road
Bristol BS8 1QU",0117 428 3183,Vice-Chancellor and President,Professor,Evelyn Welch,MBE
University of Cambridge,www.cam.ac.uk,"The Old Schools
Trinity Lane
Cambridge CB2 1TN",01223 337733,Vice-Chancellor,Professor,Deborah Prentice,
University of Central Lancashire,www.uclan.ac.uk,"Preston, Lancashire PR1 2HE",01772 201201,Vice-Chancellor,Professor,Graham Baldwin,
University of Chester,www.chester.ac.uk,"Parkgate Road
Chester CH1 4BJ",01244 511000,Vice-Chancellor and Principal,Professor,Eunice Simmons,
University of Chichester,www.chi.ac.uk,"College Lane
Chichester PO19 6PE",01243 816000,Vice-Chancellor,Professor,Jane Longmore,
University of Cumbria,www.cumbria.ac.uk,"Fusehill Road
Carlisle CA1 2HH",01228 616234,Vice-Chancellor,Professor,Julie Mennell,
University of Derby,www.derby.ac.uk,"Kedleston Road
Derby DE22 1GB",01332 590500,Vice-Chancellor,Professor,Kathryn Mitchell,CBE
University of Dundee,www.dundee.ac.uk,"Nethergate
Dundee DD1 4HN",01382 383000,Principal and Vice-Chancellor,Professor,Iain Gillespie,
University of East Anglia,www.uea.ac.uk,"Norwich Research Park
Norwich NR4 7TJ",01603 456161,Vice-Chancellor & President,Professor,David Maguire,
University of East London,www.uel.ac.uk,"Vice Chancellor's Group
Docklands Campus
4-6 University Way
London E16 2RD",020 8223 3000,Vice Chancellor and President,Professor,Amanda Broderick,
University of Edinburgh,www.ed.ac.uk,"Old College
South Bridge
Edinburgh EH8 9YL",0131 650 1000,Vice-Chancellor,Professor Sir,Peter Mathieson,
University of Essex,www.essex.ac.uk,"Wivenhoe Park
Colchester CO4 3SQ",01206 873333,Interim Vice-Chancellor,Professor,Maria Fasli,
University of Exeter,www.exeter.ac.uk,"Nothcote House
The Queen's Drive
Exeter EX4 4QJ",01392 721000,President & Vice-Chancellor,Professor,Lisa Roberts,
University of Gibraltar,www.unigib.edu.gi,"Europa Point Campus
GX11 1AA
Gibraltar",350 200 71000,Vice Chancellor & CEO,Professor,Catherine Bachleda,
University of Glasgow,www.gla.ac.uk,"Prinicple's Office
University Avenue
Glasgow G12 8QQ",0141 330 2000,Principal and Vice-Chancellor,Professor Sir,Anton Muscatelli,
University of Gloucestershire,www.glos.ac.uk,"The Park Campus
The Park
Cheltenham GL50 2RH",01242 714700,Vice-Chancellor,Dame,Clare Marchant,
University of Greenwich,www.gre.ac.uk,"Greenwich Campus
Old Royal Navel College
Greenwich
London SE10 9LS",020 8331 9000,Vice-Chancellor & CEO,Professor,Jane Harrington,
University of Hertfordshire,www.herts.ac.uk,"College Lane
Hatfield AL10 9AB",01707 284000,Vice-Chancellor & Chief Executive,Professor,Quintin McKellar,CBE
University of Huddersfield,https://www.hud.ac.uk,"Queensgate
Huddersfield HD1 3DH",01484 422288,Vice-Chancellor,Professor,Bob Cryan,CBE
University of Hull,www.hull.ac.uk,"Cottingham Road
Hull HU6 7RX",01482 346311,Vice-Chancellor,Professor,Dave Petley,
University of Kent,www.kent.ac.uk,"The Registry
Canterbury CT2 7NZ",01227 764000,Acting Vice-Chancellor and President,Professor,Georgina Randsley de Moura,
University of Leeds,www.leeds.ac.uk,"Vice Chancellor's Office
Level 13, Room 13.04
Majorie & Arnold Ziff Building
Leeds LS2 9JT",0113 243 1751,Interim Vice-Chancellor & President,Professor,Hai-Sui Yu,
University of Leicester,www.le.ac.uk,"University Road
Leicester LE1 7RH",0116 252 2522,Vice-Chancellor,Professor,Nishan Canagarajah,
University of Lincoln,www.lincoln.ac.uk,"Brayford Pool
Lincoln LN6 7TS",01522 882000,Vice-Chancellor,Professor,Neal Juster,
University of Liverpool,www.liverpool.ac.uk,"The Foundation Building
765 Brownlow Hill
Liverpool L69 3BX",0151 794 2000,Vice-Chancellor,Professor,Tim Jones,
University of London,www.london.ac.uk,"Senate House
Malet Street
London WC1E 7HU",020 7862 8000,Vice-Chancellor,Professor,Wendy Thomson,CBE
University of Northampton,www.northampton.ac.uk,"University Drive
Northampton NN1 6PH",01604 735500,Vice-Chancellor,Professor,Anne-Marie Kilday,
University of Oxford,www.ox.ac.uk,"University Offices
Wellington Square
Oxford OX1 2JD",01865 270000,Vice-Chancellor,Professor,Irene Tracey,CBE
University of Plymouth,www.plymouth.ac.uk,"Drake Circus
Plymouth PL4 8AA",01752 600600,Vice-Chancellor,Professor,Richard Davies,
University of Portsmouth,www.port.ac.uk,"University House
Winston Churchill Avenue
Portsmouth PO1 2UP",023 9284 8484,Vice-Chancellor,Professor,Graham Galbraith,CBE
University of Reading,www.reading.ac.uk,"PO Box 217
Whiteknights
Reading RG6 6AH",0118 987 5123,Vice-Chancellor,Professor,Robert Van de Noort,CBE
University of Roehampton,www.roehampton.ac.uk,"Roehampton Lane
London SW15 5PJ",020 8392 3000,Vice-Chancellor,Professor,Jean-Noel Ezingeard,
University of Salford,www.salford.ac.uk,"Vice Chancellor's Office
The Old Fire Station
The Crescent
Salford M5 4WT",0161 295 5000,Vice-Chancellor,Professor,Nic Beech,
University of South Wales,www.southwales.ac.uk,"Llantwit Road
Pontypridd CF37 1DL",0345 576 0101,Vice-Chancellor,Dr,Ben Calvert,
University of Southampton,www.southampton.ac.uk,"Highfield
Southampton SO17 1BJ",023 8059 5000,President and Vice-Chancellor,Professor,Mark Smith,CBE
University of St Andrews,www.st-andrews.ac.uk,"Principal's Office, 
College Gate
North Street
St Andrews KY16 9AJ",01334 476161,Principal and Vice-Chancellor,Professor Dame,Sally Mapstone,DBE
University of Staffordshire,www.staffs.ac.uk,"Executive Office
University House
Leek Road
Stoke-on-Trent, Staffordshire ST4 2DF",01782 294000,Vice-Chancellor and Chief Executive,Professor,Martin Jones,
University of Stirling,www.stir.ac.uk,"Prinicple's Office
Stirling FK9 4LA",01786 473171,Principal and Vice-Chancellor,Professor Sir,Gerry McCormac,
University of Strathclyde,www.strath.ac.uk,"McCance Building
16 Richmond Street
Glasgow G1 1XQ",0141 552 4400,Principal & Vice-Chancellor,Professor Sir,Jim McDonald,
University of Suffolk,www.uos.ac.uk,"Waterfront Building
19 Neptune Quay
Ipswich IP4 1QJ",01473 338000,Vice-Chancellor,Professor,Jenny Higham,
University of Sunderland,www.sunderland.ac.uk,"Edinburgh Building
Chester Road
Sunderland SR1 3SD",0191 515 2000,Vice-Chancellor,Sir,David Bell,KCB
University of Surrey,www.surrey.ac.uk,"Vice Chancellor's Office
Senate House
Guildford GU2 7XH",01483 300800,President and Vice-Chancellor,Professor,G.Q. Max Lu,
University of Sussex,www.sussex.ac.uk,"Sussex House
Falmer
Brighton BN1 9RH",01273 606755,Vice-Chancellor and President,Professor,Sasha Roseneil,
University of the Arts London,www.arts.ac.uk,"272 High Holborn
London WC1V 7EY",020 7514 6000,President & Vice-Chancellor,Professor,Karen Stanton,
University of the Highlands and Islands,www.uhi.ac.uk,"Ness Walk
Inverness IV3 5SQ",01463 279000,Interim Principal and Vice-Chancellor,Ms,Vicki Nairn,
"University of the West of England, Bristol",www.uwe.ac.uk,"Coldharbour Lane
Frenchay Campus
Bristol BS16 1QY",0117 328 2201,"Vice-Chancellor, President and Chief Executive",Professor Sir,Steven West,CBE
University of the West of Scotland,www.uws.ac.uk,"High Street, 
Paisley Campus
Paisley PA1 2BE",0141 849 3000,Principal and Vice-Chancellor,Professor,James Miller,
University of Wales Trinity Saint David,www.uwtsd.ac.uk,"Carmarthen Campus
Carmarthen, Carmarthenshire SA31 3EP",01267 676767,Vice-Chancellor,Professor,Elwen Evans,
University of Warwick,www.warwick.ac.uk,"University House
Coventry CV4 8UW",025 7652 3523,Vice-Chancellor and President,Professor,Stuart Croft,
University of Westminster,www.westminster.ac.uk,"309 Regent Street
London W1B 2HW",020 7911 5000,Vice-Chancellor,Professor,Peter Bonfield,OBE
University of Winchester,www.winchester.ac.uk,"West Hill
Winchester SO22 4NR",01962 841 515,Vice-Chancellor,Professor,Sarah Greer,
University of Wolverhampton,www.wlv.ac.uk,"Wulfruna Street
Wolverhampton WV1 1LY",01902 321000,Vice-Chancellor,Professor,Ebrahim Adia,
University of Worcester,www.worcester.ac.uk,"Henwick Grove
Worcester WR2 6AJ",01905 855000,Vice Chancellor and Chief Executive,Professor,David Green,CBE
University of York,www.york.ac.uk,"Heslington
York YO10 5DD",01904 320000,Vice-Chancellor,Professor,Charlie Jeffery,CBE
Wrexham University,www.glyndwr.ac.uk,"Plas Coch Campus
PP1 Mold Road
Wrexham LL11 2AW",01978 290666,Vice-Chancellor,Professor,Joe Yates,
York St John University,https://www.yorksj.ac.uk,"Lord Mayor's Walk
York YO31 7EX",01904 624624,Vice-Chancellor,Professor,Karen Bryan,OBE
